,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,score
0,N00000046,B,,D,D,C,B,D,A,C,C,D,B,A,B,D,C,B,D,A,,,A,B,D,D,83
1,N00000047,B,,D,C,C,B,D,D,C,C,D,,A,B,D,C,,D,A,C,,D,B,D,C,59
2,N00000048,B,A,D,D,C,B,,D,C,C,D,B,A,B,A,D,B,D,A,C,A,A,B,D,D,86
3,N00000049,A,,D,D,C,B,D,,C,C,D,B,,B,A,C,C,D,A,C,A,A,B,D,D,78
4,N00000050,,C,,D,,D,D,A,C,A,A,B,A,B,A,D,B,D,A,C,D,A,B,D,D,58
5,N00000051,B,A,B,,C,B,D,A,C,C,D,D,A,B,A,C,B,C,A,,A,A,B,D,B,72
6,N00000052,B,A,D,D,,B,D,A,D,,D,B,A,B,A,C,B,C,A,C,A,A,B,D,D,82
7,N00000053,B,A,D,D,C,B,D,A,C,C,D,B,B,B,C,C,B,D,A,C,A,C,A,D,D,80
8,N00000054,B,C,C,D,,,D,A,C,,D,B,A,C,A,C,B,D,,C,,A,B,,D,61
9,N00000055,B,A,D,,B,B,D,A,C,C,D,B,A,B,A,B,B,D,A,C,D,A,C,A,D,71
10,N00000056,B,,D,D,D,B,,A,,C,D,B,A,B,A,A,C,D,B,A,A,,B,D,D,59
11,N00000057,B,A,D,D,C,B,D,A,D,C,D,B,D,B,A,C,B,D,A,C,B,A,B,D,A,80
12,N00000058,B,C,B,D,C,B,D,A,C,,D,B,B,B,A,C,B,D,A,C,A,A,B,D,,77
13,N00000059,B,A,D,D,C,,D,A,C,A,,B,,B,B,C,B,D,A,C,D,A,B,D,D,73
14,N00000060,A,A,D,C,,B,D,A,C,B,,B,A,B,A,C,B,D,A,C,B,A,B,D,D,72
15,N00000061,B,A,D,C,C,B,A,A,,C,D,B,A,,B,C,B,D,A,C,A,A,B,D,C,72
16,N00000062,B,A,D,D,C,B,D,A,C,A,,B,A,,A,C,A,D,D,C,A,A,B,D,D,77
17,N00000063,D,A,D,D,C,,D,A,C,C,D,B,A,B,A,A,B,D,A,C,A,A,B,D,D,86
18,N00000064,C,A,D,,,B,D,,C,C,D,B,A,B,A,C,D,A,A,D,A,A,B,D,D,68
19,N00000065,C,,,D,C,,D,A,C,D,D,B,A,B,A,C,B,D,A,C,A,A,B,D,D,78
20,N00000066,B,A,D,D,,B,D,A,,C,D,B,A,A,A,C,B,D,A,C,A,A,B,D,D,87
21,N00000067,B,A,,D,C,B,D,B,C,C,D,B,,B,C,C,B,D,A,,B,A,B,D,D,73
22,N00000068,B,,D,D,C,B,D,A,C,C,C,B,,C,C,C,B,A,A,A,,A,B,D,D,63
23,N00000069,B,,D,D,C,B,D,A,C,A,D,B,A,B,A,C,B,D,A,,A,A,B,D,D,87
24,N00000070,B,A,D,D,C,B,D,,C,C,D,B,A,B,A,C,B,D,A,C,A,,A,D,D,87
25,N00000071,B,A,D,D,B,B,,C,C,C,D,B,A,B,A,C,B,D,A,,A,D,B,D,B,72
26,N00000072,C,A,D,D,C,B,D,,C,C,D,B,D,B,A,C,B,D,C,C,A,,B,D,D,77
27,N00000073,B,A,,D,C,B,,,C,A,D,B,A,B,A,C,B,D,A,C,A,A,B,D,D,83
28,N00000074,,A,D,D,C,B,D,A,C,C,D,B,,B,A,,B,D,A,C,A,A,,D,C,79
29,N00000075,B,D,D,D,B,B,D,,C,C,D,B,A,B,A,C,B,D,A,C,A,A,B,D,D,86
30,N00000076,B,A,D,D,C,B,C,A,C,C,D,B,A,B,A,B,B,D,A,C,A,A,B,,D,86
31,N00000077,B,C,,,C,B,D,A,C,C,,B,D,B,A,C,B,D,A,D,A,A,,D,D,69
32,N00000078,B,A,C,D,,B,D,D,C,C,D,B,,B,A,C,B,D,A,C,A,A,B,D,D,82
33,N00000079,B,A,D,,C,C,D,A,C,C,D,,A,C,A,C,B,D,C,,A,A,B,D,D,73
34,N00000080,B,A,D,D,C,C,D,A,C,C,D,B,A,A,A,C,B,,B,C,A,A,B,D,D,81
35,N00000081,B,B,D,D,C,B,D,A,C,C,C,,A,B,A,D,A,D,A,,A,,B,D,,64
36,N00000082,B,A,D,D,C,B,C,A,C,C,D,B,A,B,A,,B,D,A,C,A,A,B,D,D,91
37,N00000083,B,A,C,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,C,A,C,B,A,D,85
38,N00000084,B,A,D,D,C,D,D,B,C,C,D,B,A,B,A,C,B,,A,C,A,A,B,D,D,86
39,N00000085,B,C,D,A,C,B,D,A,B,C,D,B,A,B,A,C,B,D,B,C,,A,B,C,D,71
40,N00000086,D,A,D,D,C,B,D,A,C,C,,B,,B,A,C,B,D,,C,A,A,B,D,D,83
41,N00000087,B,A,D,D,C,B,D,A,C,C,B,B,A,A,,C,C,D,A,C,A,A,B,D,D,81
42,N00000088,B,A,D,D,C,,D,A,C,C,D,,A,B,A,,B,D,A,C,A,A,,B,D,79
43,N00000089,B,A,D,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,C,,C,A,D,D,86
44,N00000090,B,A,D,,,B,,A,,B,B,B,A,B,A,,B,D,A,D,A,A,B,D,D,65
45,N00000091,B,A,C,,C,B,D,A,C,C,D,B,D,,A,C,B,A,A,C,,A,C,B,D,63
46,N00000092,B,A,D,D,C,B,C,A,C,C,D,B,A,B,B,C,B,C,A,C,A,A,B,D,B,80
47,N00000093,B,A,D,D,A,B,,C,C,,D,B,A,B,A,C,B,A,A,C,A,A,B,A,D,72
48,N00000094,B,A,D,,C,B,,,C,C,D,B,A,B,D,C,A,D,C,C,A,A,B,D,D,73
49,N00000095,B,A,D,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,,C,A,A,B,D,D,96
50,N00000096,B,A,D,D,,B,D,A,C,,D,B,A,B,A,C,B,D,B,C,A,A,D,D,C,77
51,N00000097,B,A,D,D,C,B,D,A,C,,D,B,A,B,A,C,B,D,A,C,C,A,B,D,A,86
52,N00000098,A,A,D,D,C,,D,A,C,C,B,B,A,A,A,C,B,D,A,,A,,B,C,D,68
53,N00000099,B,A,D,D,C,B,D,B,C,C,D,D,A,B,A,C,B,D,A,,A,A,B,D,D,86
54,N00000100,B,A,C,D,C,B,D,A,C,,D,B,A,B,A,C,A,C,C,C,A,A,B,D,D,76
55,N00000101,B,A,D,D,C,B,D,A,C,C,D,B,B,B,A,C,B,A,A,C,A,,B,,D,82
